"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1979-08-05 8 1 5 1979 5382769.52204643 NA 0 3187307.47887866 1265554.73011007 0 1295156.15085653
1979-08-12 8 2 12 1979 3709031.67929217 NA 0 3425876.64744768 632777.333563267 0 662378.754309731
1979-08-19 8 3 19 1979 2027671.42173232 NA 0 2022234.41768679 0 805232.286313207 29601.4207464642
1979-08-26 8 4 26 1979 2283516.83932811 NA 0 2156967.6295783 0 628817.938421699 45882.5430388804
1979-09-02 9 5 2 1979 1908840.03827306 NA 0 2002041.07090244 0 783744.497097556 60680.7747269125
1979-09-09 9 6 9 1979 1802310.11740389 NA 154408.647198354 1586274.98480165 77507.9270484883 988980 318516.917809891
1979-09-16 9 7 16 1979 1923269.26747188 NA 363550.544108302 1377133.0878917 118200.2596697 988980 464721.212155625
1979-09-23 9 8 23 1979 1658933.69704939 NA 438143.542322715 1302540.08967729 64942.0585549772 988980 346356.583308785
1979-09-30 9 9 30 1979 1461275.26282277 NA 510860.906103001 1229822.725897 83651.5387901334 988980 394107.824922679
1979-10-07 10 10 7 1979 1417703.66363772 NA 535729.346926925 1091819.77307308 70476.8251713579 1125720 418781.969886396
1979-10-14 10 11 14 1979 1266493.45567677 NA 544030.042529966 1083519.07747003 38419.980886947 1125720 361547.50817649
1979-10-21 10 12 21 1979 1197278.85145976 NA 567312.541190897 1060236.5788091 39529.9310394369 1125720 383673.55367035
1979-10-28 10 13 28 1979 1165016.07150458 NA 337992.469383803 1289556.6506162 87320.0309298978 1125720 432990.738574902
1979-11-04 11 14 4 1979 1256298.54059385 NA 160308.398950382 1467240.72104962 136567.353852558 1203100 456513.502796006
1979-11-11 11 15 11 1979 1428717.24224307 NA 248182.766625698 1714800.2573743 0 1203100 199812.646841758
1979-11-18 11 16 18 1979 1688532.09411864 NA 943667.815388633 1019315.20861137 4192.17831744625 1106640 379298.285863849
1979-11-25 11 17 25 1979 1316797.6119188 NA 922085.238487529 1040897.78551247 0 1106640 243921.071097218
1979-12-02 12 18 2 1979 1020206.76123311 NA 800043.739910831 1162939.28408917 0 998520 230237.211943674
1979-12-09 12 19 9 1979 1188019.56263868 NA 117842.999487355 2168665.03251264 265755.385577774 998520 418569.156068975
1979-12-16 12 20 16 1979 1490693.1960958 NA 188526.420640262 2097981.61135974 357339.664068333 998520 555949.073227592
1979-12-23 12 21 23 1979 1707759.28711003 NA 705032.288766041 1581475.74323396 73096.6335506272 998520 374924.883310321
1979-12-30 12 22 30 1979 1640359.69545218 NA 802145.629831875 1484362.40216812 41797.3749129386 998520 458799.643380084
1980-01-06 1 23 6 1980 2256717.21428507 NA 927058.904179212 1349525.04782079 524096.899761914 1010180 1389322.85203337
1980-01-13 1 24 13 1980 1494621.47548697 NA 1357375.03486009 919208.917139905 259.963082434745 1010180 375109.552833139
1980-01-20 1 25 20 1980 1656896.49597067 NA 777364.04301614 1499219.90898386 133.454862189936 1010180 445148.397104674
1980-01-27 1 26 27 1980 1816348.47622657 NA 766705.994222994 1509877.95777701 0 1010180 456897.120121323
1980-02-03 2 27 3 1980 1985330.27452491 NA 860310.04651101 1416273.90548899 0 1022900 509690.45934693
1980-02-10 2 28 10 1980 1625695.03162067 NA 778876.883318228 1338921.78868177 0 1092860 573480.983453027
1980-02-17 2 29 17 1980 1576983.99854078 NA 741529.473460299 1376269.1985397 0 1022900 514977.293692765
1980-02-24 2 30 24 1980 1531091.78606315 NA 465996.002787747 1651802.66921225 20922.4302380981 1022900 461355.619268869
1980-03-02 3 31 2 1980 1627114.09811272 NA 515421.783442083 1602376.88855792 48197.0479620165 1022900 386920.606758218
1980-03-09 3 32 9 1980 1215077.52729532 NA 106548.046896427 1755209.36110357 42545.2015514594 1092860 365751.897841701
1980-03-16 3 33 16 1980 1014472.81350991 NA 272674.405786081 1589083.00221392 16455.7589639309 1092860 263265.344403146
1980-03-23 3 34 23 1980 823579.543752311 NA 431304.281273951 1430453.12672605 10144.8657701203 1115120 249697.168877424
1980-03-30 3 35 30 1980 598133.440336247 NA 492267.843165652 1369489.56483435 6438.43795760034 1115120 252042.545743931
1980-04-06 4 36 6 1980 547940.958736812 NA 417083.984962073 1299781.85503793 0 1190380 70999.255227056
1980-04-13 4 37 13 1980 574087.763777182 NA 0 1830138.96765227 0 1077106.87234773 77665.9241599298
1980-04-20 4 38 20 1980 832262.862484278 NA 0 2229558.50024302 0 858305.595756984 43885.0865479851
1980-04-27 4 39 27 1980 2288669.53288401 NA 0 2648738.51186939 0 439125.584130613 508431.664481455
1980-05-04 5 40 4 1980 4577377.4363291 NA 0 3291934.24201293 943366.760201358 58801.0859870743 1727298.35613314
1980-05-11 5 41 11 1980 6019087.91345895 NA 0 3148389.0739483 1749124.22424325 202346.254051701 2560463.38210802
1980-05-18 5 42 18 1980 5964728.78533799 NA 0 3017187.87978357 1676849.77207691 333547.448216429 2447068.88371116
1980-05-25 5 43 25 1980 4757226.09050106 NA 0 2207495.95616488 0 1143239.37183512 669191.569591201
1980-06-01 6 44 1 1980 17929511.4190852 NA 0 2175343.12373982 0 1175392.20426018 804639.818333746
1980-06-08 6 45 8 1980 6172609.36018595 NA 0 3042017.04992822 149748.689930533 107745.302071776 841901.895797957
1980-06-15 6 46 15 1980 11338529.4092348 NA 0 2583798.02576079 0 565964.326239214 466138.171972187
1980-06-22 6 47 22 1980 5028974.70206536 NA 0 3024276.19670527 0 125486.155294726 238534.662553543
1980-06-29 6 48 29 1980 2811505.36509992 NA 0 2553282.28229778 0 596480.069702215 0
1980-07-06 7 49 6 1980 3929034.87918836 NA 0 2701202.17121927 144883.645964344 251962.388780727 144883.645964344
1980-07-13 7 50 13 1980 2994754.79075702 NA 0 2312830.34225687 0 640334.217743127 0
1980-07-20 7 51 20 1980 3763114.0834339 NA 0 2508241.33723725 0 444923.222762749 0
