"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 632757.325331075 0 809348 0 0 0 127669.972758796 0 0 0 NA NA 210759 0 0 1e+10 537424.467924203 1232665.55375573
1979-08-12 8 2 12 1979 894278.095616969 0 404674 0 0 0 145144.457254926 0 0 0 NA NA 105379 0 0 1e+10 470075.589496305 1279053.61519673
1979-08-19 8 3 19 1979 901122.25209622 0 0 0 0 0 189707.683576287 0 0 0 NA NA 0 0 0 1e+10 574774.628008568 802822.529322234
1979-08-26 8 4 26 1979 1060607.5566506 0 9192 0 0 0 132967.592180231 0 0 0 NA NA 0 0 0 1e+10 489105.611292575 853556.143741708
1979-09-02 9 5 2 1979 1158904.16763868 0 14618 0 0 27598 153189.743994564 0 0 0 NA NA 0 0 0 1e+10 433574.986232202 779126.422614707
1979-09-09 9 6 9 1979 1358835.28738086 0 136106 0 0 0 175074.006679886 0 275.212252185375 0 NA NA 9.31322574615479e-10 0 0 1e+10 463799.457428674 774382.516707817
1979-09-16 9 7 16 1979 1555447.53091894 0 229315.634103447 0 0 0 181649.146621854 0 1172.56289284591 0 NA NA 0 0 0 1e+10 424052.423313894 555930.735169419
1979-09-23 9 8 23 1979 1625120.86726395 0 107640.262939663 0 0 0 182796.054776764 0 2534.88789756054 0 NA NA 0 0 0 1e+10 402763.522671392 395650.896499429
1979-09-30 9 9 30 1979 1494141.94277818 0 142144.828167347 0 0 0 200885.278584913 0 4260.78579691603 0 NA NA 0 0 0 1e+10 487136.745701389 278664.803937966
1979-10-07 10 10 7 1979 1532847.85709813 0 166082.301860206 0 0 0 67677.273433517 0 0 0 NA NA 9.31322574615479e-10 0 0 1e+10 344231.20105693 264942.929173022
1979-10-14 10 11 14 1979 1474748.54344458 0 113640.26025572 0 0 0 71536.817419868 0 0 0 NA NA 0 0 0 1e+10 299760.104349695 293090.160998036
1979-10-21 10 12 21 1979 1471739.72011251 0 137278.184285667 0 0 0 77581.945002255 0 0 0 NA NA 0 0 0 1e+10 344600.753046982 259713.110164773
1979-10-28 10 13 28 1979 1314672.82875791 0 148280.219445403 0 0 0 64069.649504019 0 0 0 NA NA 0 0 0 1e+10 560893.805936435 305657.225549001
1979-11-04 11 14 4 1979 1223619.13560169 0 192877.174438803 803474.617593492 28267.5568453111 0 67795.819604293 0 0 0 NA NA 0 0 0 1e+10 646501.502576502 444781.556845311
1979-11-11 11 15 11 1979 2194705.99297849 0 121559.800797306 642358.800797306 0 0 74922.61964353 0 0 0 NA NA 0 0 0 1e+10 297836.72106713 338972.64209435
1979-11-18 11 16 18 1979 2098350.3059353 0 24461.7093841662 65605.7879331252 0 0 73309.284705521 0 0 0 NA NA 0 0 0 1e+10 265004.227631818 235851.557465121
1979-11-25 11 17 25 1979 2102419.73301214 0 24647.5710227708 67500.6687313085 0 0 74951.582889527 0 0 0 NA NA 0 0 0 1e+10 261555.150944648 241723.403297863
1979-12-02 12 18 2 1979 1882132.81812353 0 23634.9376801015 70936.1341694761 0 0 71118.884347311 0 0 0 NA NA 0 0 0 1e+10 440433.504705891 236591.38709545
1979-12-09 12 19 9 1979 3516944.49529347 0 338743.314951974 2097395.96786379 0 0 64193.700466302 0 490.319544455422 0 NA NA 0 0 0 1e+10 347150.749455386 316547.86168167
1979-12-16 12 20 16 1979 3669940.99788464 0 286309.47057243 1186704.73581171 0 0 55417.2630471 0 3120.65989211364 0 NA NA 0 0 0 1e+10 315655.159285344 452253.718906047
1979-12-23 12 21 23 1979 2821743.59546988 0 99852.9160757693 444945.285080223 0 0 61589.647430585 0 21965.6305881028 0 NA NA 0 0 0 1e+10 286146.284473182 506598.888481573
1979-12-30 12 22 30 1979 2490293.15704414 0 147719.875592517 366933.636500835 61740.794624649 0 60377.808010395 0 11555.1383272161 0 NA NA 0 0 0 1e+10 304880.047132501 654667.794624649
1980-01-06 1 23 6 1980 2565169.82427527 0 1363019.78991904 0 413837.219452518 0 74281.605942033 0 29119.6315552199 356427.257226701 NA NA 9.31322574615479e-10 0 0 1e+10 198932.340347852 300948.878566269
1980-01-13 1 24 13 1980 2152925.96404242 0 9440.99999999988 0 0 0 78129.033211872 0 688.715273338046 0 NA NA 0 0 0 1e+10 186010.702397806 283393.91079489
1980-01-20 1 25 20 1980 2457038.55267167 0 505645.513315452 505645.513315452 0 0 89056.086731666 0 78.3154759333113 0 NA NA 0 0 0 1e+10 389640.712428152 377939.991328849
1980-01-27 1 26 27 1980 2435980.84561497 0 505017.367054707 505017.367054707 0 0 67479.134187222 0 0 0 NA NA 4.65661287307739e-10 0 0 1e+10 293721.499261851 372888.699266801
1980-02-03 2 27 3 1980 2520281.99306535 0 508584.751002532 508584.751002532 0 0 70703.838589776 0 0 0 NA NA 0 0 0 1e+10 209388.465826788 345708.61268645
1980-02-10 2 28 10 1980 2323656.71244641 0 427013.107539741 427013.107539741 398571.433925497 0 63764.331668842 0 0 0 NA NA 9.31322574615479e-10 0 0 1e+10 180700.211993559 455879.433925498
1980-02-17 2 29 17 1980 2357161.88317196 0 414598.183544302 414598.183544302 414598.183544302 0 62122.376709576 0 0 0 NA NA 0 0 0 1e+10 176856.99115544 471906.183544302
1980-02-24 2 30 24 1980 2286187.12983671 0 453998.566372051 453998.566372051 453998.566372051 0 50115.9105455329 0 6387.21209421305 0 NA NA 0 0 0 1e+10 487233.021934708 511305.566372051
1980-03-02 3 31 2 1980 1802468.29610831 0 0 0 0 0 22944.727445298 0 20447.3552710013 0 NA NA 0 0 0 1e+10 482291.257845401 639233.507413374
1980-03-09 3 32 9 1980 1666546.21395566 0 287201.840516946 287201.840516946 287201.840516946 0 33479.108770347 0 3074.79168971981 0 NA NA 9.31322574615479e-10 0 0 1e+10 336756.760996464 778489.840516948
1980-03-16 3 33 16 1980 1704100.28683554 0 221706.153759171 221706.153759171 221706.153759171 0 43855.077256717 0 4464.45739163616 0 NA NA 0 0 0 1e+10 333726.732929228 669954.15375917
1980-03-23 3 34 23 1980 1726373.17813048 0 211884.016843413 211884.016843413 211884.016843413 0 43221.930970391 0 6815.7506863056 0 NA NA 0 0 0 1e+10 332165.937684853 654183.016843413
1980-03-30 3 35 30 1980 1670818.77535889 0 218804.283790641 218804.283790641 218804.283790641 0 42491.18034626 0 8855.4452573623 0 NA NA 9.31322574615479e-10 0 0 1e+10 271987.60554725 672010.283790641
1980-04-06 4 36 6 1980 1706690.22336004 0 0 0 0 0 56536.772509271 0 0 0 NA NA 0 0 0 1e+10 320635.617446337 578016.193258264
1980-04-13 4 37 13 1980 1554306.33365191 0 0 0 0 0 54810.118968497 0 0 0 NA NA 0 0 0 428592.456310843 353962.9381535 568651.94293236
1980-04-20 4 38 20 1980 1408533.74109847 0 0 0 0 0 52946.122960294 399040.693282185 0 0 NA NA 9.31322574615479e-10 9.31322574615479e-10 0 428592.456310843 345558.279332405 562513.535222312
1980-04-27 4 39 27 1980 1907296.80648892 0 0 0 0 0 44854.888278177 0 0 0 NA NA 0 0 0 428592.456310843 427035.780277273 1025891.76193051
1980-05-04 5 40 4 1980 2070920.50134561 0 2363820.25054274 2363820.25054274 833630.50175842 120049.838671183 13057.12531656 0 0 0 NA NA 974835.265890596 974835.265890596 0 428592.456310843 740595.861001013 2614858.27878655
1980-05-11 5 41 11 1980 1785252.85687513 0 2720461.33403845 2720461.33403845 393527.89989236 0 47748.8184808809 0 0 0 NA NA 1709301.80737529 1383207.1005896 0 428592.456310843 499282.110922213 3136975.33403845
1980-05-18 5 42 18 1980 1631762.35585948 0 2217806.74379476 2217806.74379476 208901.597832589 29201.6537962924 53987.9635645341 0 0 0 NA NA 1476845.19313795 1008863.77393534 0 437056.225851674 527982.495449101 2740663.97975019
1980-05-25 5 43 25 1980 798348.565058255 0 0 0 0 208570 50386.571057666 0 0 0 NA NA 0 0 0 448682.398072447 375482.812029804 1492625.79663582
1980-06-01 6 44 1 1980 903237.555811038 0 56084.3736383346 0 0 171598 72291.915425914 0 0 0 NA NA 0 0 0 466757.035267198 493695.381923874 1864178.16560329
1980-06-08 6 45 8 1980 821456.045204688 0 140251.749131802 57062 0 0 86387.1051708302 0 0 0 NA NA 16005.4643490259 16005.4643490259 0 498019.066208053 594267.963163461 1564178.81138605
1980-06-15 6 46 15 1980 533678.374225335 0 124334.49144728 38041 38041 0 69411.772004222 0 0 0 NA NA 0 0 0 527860.338639393 598030.595419917 800930.068441044
1980-06-22 6 47 22 1980 415289.688654143 0 64403.5453731037 19021 19021 2404.74736567074 71567.697068608 0 0 0 NA NA 0 0 0 552425.947686291 471237.897456372 1282531.65830624
1980-06-29 6 48 29 1980 284182.537744657 0 14836.8177446572 0 0 0 71210.928205141 0 0 0 NA NA 0 0 0 593116.79220612 347571.741577519 966698.39210484
1980-07-06 7 49 6 1980 580057.774250439 0 240130.282073416 107682 0 0 56949.268244741 0 0 0 NA NA 0 0 0 645273.782218995 203847.813915298 1192132.38012635
1980-07-13 7 50 13 1980 233940.330084216 0 99137.3353942598 71788 0 0 51795.348763891 0 0 0 NA NA 1.86264514923096e-09 1.86264514923096e-09 0 663272.486798441 233566.530542693 937356.498215067
1980-07-20 7 51 20 1980 417101.916732224 0 209820.686129544 175387 0 0 59471.743742392 0 0 0 NA NA 0 0 0 668379.143302575 173673.659871776 1243890.20885052
1980-07-27 7 52 27 1980 483847.449434017 0 278985 278985 0 0 63413.70879143 0 684.323382910057 0 NA NA 0 0 0 653640.064148071 138905.633173844 841902.688314211
1980-08-03 8 1 3 1980 1019964.4204817 0 287960 0 0 27598 68781.868428354 0 NA 0 NA NA 0 0 0 10000075330.017 152139.595758196 833133.291832737
1980-08-10 8 2 10 1980 1022211.76442376 0 130979.310637811 0 0 27598 72108.438151742 0 NA 0 NA NA 0 0 0 10000059346.9264 183197.76420384 594118.171895497
1980-08-17 8 3 17 1980 1292898.87152523 0 0 0 0 27598 75606.601258871 0 NA 0 NA NA 0 0 0 10000058875.7028 148842.874265404 652863.262919145
1980-08-24 8 4 24 1980 1150235.82284769 0 5738 0 0 27598 80373.658541233 0 NA 0 NA NA 0 0 0 10000058404.3987 125363.512503372 859697.282843148
1980-08-31 8 5 31 1980 1196700.45908844 0 11477 0 0 27598 77901.386068469 0 NA 0 NA NA 0 0 0 10000053453.9718 147821.964412688 779026.34162753
1980-09-07 9 6 7 1980 1168849.54221048 0 87394 0 0 0 116737.724466361 0 NA 0 NA NA 9.31322574615479e-10 0 0 10000048503.5045 164727.026333866 638025.294544258
1980-09-14 9 7 14 1980 1184873.02967294 0 119838.250505779 0 0 0 146208.562257057 0 NA 0 NA NA 0 0 0 10000049113.2734 217094.859481951 550549.167032507
1980-09-21 9 8 21 1980 1178219.8687689 0 79498.6429799274 0 0 0 111928.065501613 0 NA 0 NA NA 0 0 0 10000049723.0423 325512.507495395 463858.66291289
1980-09-28 9 9 28 1980 1309453.16229394 0 268741.41981249 0 0 0 93110.898269275 0 NA 0 NA NA 0 0 0 10000050332.7709 268613.898721139 405798.53794419
1980-10-05 10 10 5 1980 1443363.42563154 0 273112.014822315 0 0 0 70394.492309511 0 NA 0 NA NA 0 0 0 10000050942.5398 175607.648149914 245663.963486216
1980-10-12 10 11 12 1980 1577513.00314912 0 185353.825503542 0 0 0 72219.597617953 0 NA 0 NA NA 0 0 0 10000051603.059 152928.209321358 392896.281297749
1980-10-19 10 12 19 1980 1555457.33631586 0 163694.581682081 0 0 0 73307.571098513 0 NA 0 NA NA 0 0 0 10000052263.5781 142776.256065947 336754.952447967
1980-10-26 10 13 26 1980 1516759.20135297 0 181897.65979667 0 0 0 68649.729969134 0 NA 0 NA NA 0 0 0 10000052924.1375 234363.189410721 337543.844795867
1980-11-02 11 14 2 1980 1342403.88645811 0 175628.842774001 814493.842774001 0 0 70384.944452939 0 NA 0 NA NA 0 0 0 10000050665.8119 479286.132475985 377093.928313794
1980-11-09 11 15 9 1980 2777213.40279997 0 436512.310213941 871527.987105412 0 0 77171.616211711 0 NA 0 NA NA 0 0 0 10000047757.4237 128873.741310705 245851.781848097
1980-11-16 11 16 16 1980 2059428.55769531 0 127741.657836676 472517.389845794 26653.636677118 0 73540.917679926 0 NA 0 NA NA 0 0 0 10000031600.4043 165994.109855924 482573.636677119
1980-11-23 11 17 23 1980 2259594.51584881 0 97153.5552068087 218114.275939192 0 0 73657.970023356 0 NA 0 NA NA 0 0 0 10000029916.0167 181676.169619723 330809.870285721
