"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1979-08-05 8 1 5 1979 321312.149153499 266090.794990677 677725.577193052 188537.765925453 3159509.58647045 327686.901044623 334106.335119947 470250.996037042 320732.855556051 18396.0765857147 1969230.47801151 513173.135562649 3070167.0648997 66782.9380882189 584674.118173481 181847.573158212 125915.644726936 1901597.78527754 471336.377749249 1127813.73472199 10071.0730097226 2988942.20797479 33531.0455572826 180764.360210612 1169613.94675458 1171458.96629504 1175546.90527631 48847.1148959263 3012615.83463412 455299.62695839 200449.581504482 240020.974634119 319607.734146798 34164.9577608545 470250.996037042 106380.865462645 55499.9294162516 67995.0920137645 2024394.06239894 550364.079154744 2348.36637845041 2007216.37288709 1992888.16312697 332723.22002875 1992612.91013942 1968646.9238568
1979-08-12 8 2 12 1979 306784.279396014 257535.519606954 455577.067036287 276635.418615058 3147465.58137918 310784.415220365 318680.641879021 467715.406889681 302276.231409743 23183.4529252679 1900495.30759427 534260.826297824 3050118.51715211 46345.3202397844 697326.780411217 193576.269125999 146230.281786713 1833682.60233494 466283.342746016 1203923.04300882 11467.9970353924 2978831.75119644 35355.0545118282 273126.640210195 1241943.10352675 1245400.52418636 1244568.36103352 48195.3322081624 3002850.73554158 335950.760331596 208688.941029062 230255.875541586 303986.179421889 52375.2694503327 467715.406889681 116272.797328665 54479.8437338837 65014.6510343868 1958917.10212976 417453.189737044 3488.82570998933 1943654.62098548 1929388.74650047 313652.534633294 1929134.97447955 1901536.9204795
1979-08-19 8 3 19 1979 182808.976447834 208112.244198851 308506.026072877 176342.884279641 1740766.52069691 185642.896383263 193960.126255571 714187.542824434 181454.893220477 16611.4845798644 934123.364176252 230589.010023613 1667613.24621509 70196.2684159847 128683.210684292 73604.0174887825 30361.873889999 875851.654035239 704917.435146922 777061.993545639 10769.4365243391 1606690.29773392 17464.4738792258 173075.982907495 855411.899163692 881329.229290925 840389.876133253 23046.0131862045 1641881.14597506 285416.331585421 218377.159511379 200795.693949801 183490.36828316 59393.0646874959 714187.542824434 73454.8034939198 19244.88431173 62104.1128898537 984003.271321389 336628.858578628 1706.65798298712 971542.278895952 962111.014524366 193731.392134722 954366.366504899 945722.700174685
1979-08-26 8 4 26 1979 202080.130227126 191764.14260036 337513.179726183 176408.173813972 1880621.298502 203776.960158345 213087.702252221 543742.365669961 205722.315366229 15814.975941997 930163.539941611 184489.445547758 1782186.62340786 14426.7447496635 131344.16688795 93905.7140456673 30589.6471555354 869264.155820607 550542.221441874 803758.353894276 7660.55025051811 1702854.38200631 15243.2479610067 173664.30476517 815952.862838462 807172.661212536 838984.176792595 26524.4863815977 1700959.70823125 225946.51052664 198677.085325752 188288.607475579 208782.161958809 39498.1039301351 543742.365669961 64368.4879681319 18974.6894995803 66595.2460154 1000270.02691211 262159.918560638 1420.57734395371 991500.446107733 984459.858021991 220874.139137777 970961.793274227 970773.61310216
1979-09-02 9 5 2 1979 211752.264818086 171478.429887874 279008.732300647 176414.983055911 1798812.55759896 216510.226912203 221581.322444547 494401.139178335 200654.718025818 14932.5915950052 966956.005184614 217528.963377571 1739124.10093694 44218.0622015885 127472.26863356 74925.4322170685 30787.4597560144 909350.033912915 499029.877691168 685763.794578419 6879.23758036177 1657453.54068993 13184.3457335073 170529.966193737 712082.609050737 712459.964067257 720408.419856353 24332.8487609789 1642750.68567966 232718.055715695 169734.602079359 166464.223190252 198392.156297807 25951.4674246213 494401.139178335 51937.2723659824 15701.2987486973 75386.9107963402 1047689.48323512 262813.566917088 841.123234214583 1029306.95883487 1019900.21185217 208734.845420149 1016892.85674068 999603.403581095
1979-09-09 9 6 9 1979 243088.703091655 165341.014279481 484797.774680248 169362.126351852 1653007.16321275 245939.938424902 244170.190473157 518103.422742445 169024.475739567 14601.2054936804 1028800.41873841 383644.80133188 1697291.26755283 116632.788257792 59216.7139345277 61186.5627208175 28737.1845787261 1008511.25181611 533494.703546303 614525.19038918 6019.14318108828 1623464.32002318 10399.5661657445 160477.367688526 635110.946250438 633112.005246748 647382.948005034 33189.9904370061 1612548.30905717 240582.91882288 151596.184026751 157087.559584706 160373.903410385 14810.9165774105 518103.422742445 42121.2815002175 18480.7822493763 87110.7585560051 1075680.12101122 308050.932692788 748.992377025941 1082371.32223339 1079698.58877938 174155.463393043 1050616.38105506 1083974.13618726
1979-09-16 9 7 16 1979 218042.793593587 151842.910805188 558091.660225635 153821.255881127 1724225.10876043 221027.091182289 219284.706805178 497195.316190946 145965.744235522 21982.0528937485 989149.448536152 282800.212724896 1766296.05581207 109915.486825157 57793.6005347483 55187.4001867792 27331.2377116969 937558.072005238 509380.283038778 563827.259445544 6723.17587799003 1698782.10831422 15438.9455019427 150008.149910406 589890.583114561 590852.608204114 594367.036757811 32087.1442194971 1651326.05408081 260151.383217768 131618.639052826 139866.697043282 139306.215544855 11223.0625867462 497195.316190946 53975.7460378262 21245.3484184031 70222.6886599622 1083880.80701461 326310.750250098 598.292482951825 1053627.20195062 1040412.15406483 152509.087744162 1046809.38514684 1009544.77081712
1979-09-23 9 8 23 1979 191301.861721997 133111.434054485 366741.838447972 143426.796400601 1594458.67200839 194239.328217078 192513.198830622 469087.143480318 119987.295688054 21341.3320707937 787106.424350499 253134.054300199 1622106.27374369 114387.467919842 56872.7701786794 47302.6553320156 26197.1013788274 739732.759255532 479395.697774553 523132.085487581 7001.50736224553 1550506.45832216 17502.6581445718 140451.75105514 550650.371235154 551981.354759973 553448.929566592 41267.3240711027 1466443.32903348 259167.58082841 124064.939635236 124818.922582772 114006.313985201 9386.54607564505 469087.143480318 55494.4217353353 25385.4815861431 60951.7465835582 893148.448602894 299969.791570655 1533.47563293351 851968.175288016 835734.616229953 126113.557529534 860120.743699977 791773.999649308
1979-09-30 9 9 30 1979 236968.956961888 131821.166801681 343918.629721768 57622.7699045921 1252989.42461511 239330.019280669 237949.759746432 517752.956991802 167861.892280863 20902.5486967301 646962.489799647 167706.011907758 1279970.16917423 99675.3919077583 56778.3322340786 88763.47837608 71110.9144509229 623185.248264393 525389.53332531 542467.407032069 7102.31789201902 1225089.57952367 15210.4505440986 55535.2 576915.807448913 583515.968814915 574025.157335224 17934.3367276019 1181187.81683557 237167.035520894 134194.047586839 127730.267368542 162387.067576839 5201.83221318084 517752.956991802 53534.7476856984 12102.3280144441 59000.0539123118 681487.105236081 278050.019739131 1566.79146407062 672907.762984299 667629.52484696 174317.248810876 665294.816963281 644998.467260549
1979-10-07 10 10 7 1979 235053.541911728 108385.778185672 404854.116343736 55449.1869269057 1203417.27837124 244651.703164394 237620.927263549 406852.854281311 100990.916445843 13766.4371943485 684967.739281164 139049.53054133 1221095.68838762 71018.9105413296 18048.94 44428.16 5553.52 651533.435240595 413865.335379543 461694.774901891 5510.12000798081 1125722.01180311 11528.6886318158 55535.2 493381.766714251 490471.568510116 495717.150379602 9102.51100651137 1093878.0684948 238824.987883287 125799.065545895 118890.903615357 96948.9869587483 1888.40490089766 406852.854281311 40800.4580513074 9718.66 52758.44 699519.25158395 269375.617027022 1155.43085217928 694921.302090042 694619.394607921 105713.740839479 680889.755351795 691259.030318273
