"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
2006-08-06 8 1 6 2006 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1676000 850000 1401000 135205 100500 1672590 95180 1011000 847192 1120000 558270
2006-08-13 8 2 13 2006 20075000 7327300 1424900 638280 5671467 2960915 8639117 2782067 1420000 1792000 1540000 1661833 836057.189489152 1378018.96761683 132987.190946919 98851.4676984233 1587833.83499863 95180 992783.120040942 800452 1115745.6683169 558270
2006-08-20 8 3 20 2006 20059957.4332044 7327300 1416416.64798064 682960 5572500 2942485 8522046 2667744 1392402 1792000 1540000 1654750 828598.83576642 1365725.845775 131800.830105646 97969.6270523826 1504481.48271527 95180 957068.602516725 784026.089070053 1101584.83911342 558270
2006-08-27 8 4 27 2006 20065307.1015089 7321562 1418425.87126588 727290.267077196 5473533 2924054 8404975 2553422 1392402 1792000 1540000 1647667 815019.376702511 1343343.70207084 129640.817443603 96364.0557160027 1443490.07004465 95180 918565.718589709 765062.461547342 1090061.31860397 558270
2006-09-03 9 5 3 2006 20071231 7315823 1421759 772320 5374567 2905623 8287904 2439100 1392402 1792000 1540000 1640583 799355.722248657 1317526.31396514 127149.282854858 94512.0589246942 1398362.04124064 95180 899999.480079173 756064.861306178 1085340.77688788 558270
2006-09-10 9 6 10 2006 20040487 7239906 1410701 737712 5275600 2887192 8378948 2387014 1336461.32191873 1792000 1482126 1633500 784698.624494393 1293367.96813723 124817.855911487 92779.0726608076 1328871.06730761 95180 892314.948847812 752578.899332533 1084290.65818319 558270
2006-09-17 9 7 17 2006 19900198.6564478 7163989 1322074.62204723 764141 5176633 2868762 8469992 2334849 1252922.64383746 1792000 1424251 1617133 776732.401211393 1280237.75776137 123550.710947984 91837.1839079353 1268474.14477215 95180 886628.930903873 745655.088513037 1079067.44315084 558270
2006-09-24 9 8 24 2006 19749329.6254024 7088071 1240411.47381988 790571 5077667 2801321 8561036 2282683 1169383.96575618 1792000 1366377 1600767 762142.81577639 1256190.68812085 121230.02283182 90112.1799829731 1208204.0750933 95180 863083.142468228 731426.758337287 1067140.30243893 557970
2006-10-01 10 9 1 2006 19583567.1804065 7012154 1146501.64172768 801196.739173087 5087192.35407813 2726227 8652080 2230518 1085845.28767491 1792000 1308502 1584400 746358.998598912 1230175.24357303 118719.374594783 88245.9757166948 1173293.69445359 95180 849964.868584894 722734.353295914 1050000 556282.888294786
2006-10-08 10 10 8 2006 19420331.4065787 6937496 1089581.07735993 817000 5109529.84840387 2724479.29008506 8743124 2223023.19527077 1028375.37023249 1768038.38483284 1199292 1574007 730013.090213562 1203233.34045788 116119.317485088 86313.3124311329 1132978.4920552 95180 831687.60900569 717607.811466081 1047734.06022573 557370
