"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
2006-08-06 8 1 6 2006 280416.422652669 194126.724749522 433734.354101349 238745.779436585 3784336.85943362 294407.279330875 297249.845701311 478899.438625232 254167.268632287 17441.2547307161 1872915.36245618 551882.502001966 3660241.53084856 32170.7625827671 586565.922733181 160547.533954511 102100.210802926 1704721.53569666 483286.40260825 1194701.63756353 11292.6700377595 3497143.17579246 39947.6736635212 224841.378790574 1236455.98547302 1232319.98035679 1249485.76993573 45611.1002791366 3370499.76235738 283688.269898541 176803.362457199 178273.02015361 258275.013506609 16476.0271726131 478899.438625232 127964.038594161 60187.4084659949 68148.1460518416 2082687.17521292 392856.55448784 4084.54653522 1991779.3200643 1973691.05433063 260346.69523521 2023920.04412841 1932022.33607212
2006-08-13 8 2 13 2006 274631.773236438 205907.599309735 355397.881052984 312151.958329108 3254947.6442918 285794.07408092 288866.374189805 489525.449459513 252684.60900518 23628.2734926944 1837101.47344502 561035.18800797 3164023.00515179 21141.6899941089 698747.337082064 164543.848048392 118865.10719844 1719470.73549015 492233.812315948 1236041.15361032 8195.69206907171 3045366.9718964 19034.4605236397 297401.965981654 1278200.67619332 1278848.56575206 1280494.94041337 24867.1494704912 3056585.15535993 250695.893354896 199830.708500037 198136.168407054 257396.601892267 3743.78743615368 489525.449459513 74762.3486902589 58557.0186173744 76569.424535918 1903932.45404887 345000.6241017 909.372154903647 1883890.50289318 1883760.54638968 258829.60773563 1881256.91040955 1868682.16779035
2006-08-20 8 3 20 2006 182938.794293141 183116.331975888 386619.15207138 223100.017096282 1766178.42173149 191716.288013125 195878.962329014 470004.266517367 170048.321095184 16066.0223466794 1053455.72059752 273505.87133725 1693786.80366986 39709.763920659 130360.877115757 86598.9908533061 27668.7893806635 974098.660528399 473417.61820406 656162.617932553 6732.80962650977 1593213.51475331 12269.7074813414 209147.077436053 694697.66157267 698307.762811504 700380.251781128 42622.7352530594 1617934.06831089 263765.002458248 165319.174302007 170625.21204068 176376.17344122 14531.5092768271 470004.266517367 49677.6040184906 26747.3415668338 70921.7697086867 1049853.57161246 335324.42191859 384.395229554866 1054725.06097481 1063744.76100173 180025.784134175 1036107.43271705 1082795.27648432
2006-08-27 8 4 27 2006 190741.418186459 179039.871182025 369069.107701555 213111.734862107 1719994.36628451 201970.024408575 205061.626583361 415826.770604031 166923.833712434 15721.0525143819 1081929.8920162 256827.727441499 1665264.30059737 39042.2968781834 127790.69788261 77698.1997039812 26624.4289869699 970808.057880984 417848.995625159 597495.760067046 7538.33154775199 1585197.12085945 18212.6044132247 201217.418940545 632754.503623742 635196.297795806 636952.79833035 45436.8821965593 1625648.14817063 245269.602472659 165611.362095602 165568.251194857 170493.162813013 13445.0935836745 415826.770604031 69033.7627656652 30231.4005788636 57722.6473623683 1121995.36047541 303543.231077652 1188.71382986302 1110393.90818629 1117263.71749927 171009.287204508 1102394.5700646 1118213.44742713
2006-09-03 9 5 3 2006 279889.795984242 155908.757566707 1196894.54579525 337070.370578804 1839766.148232 276406.518157297 288455.554709789 513793.497355044 271603.28576425 15859.2908948893 1773514.05350514 626147.658348195 1837015.7493146 168703.541345457 153586.083699156 160838.495529156 34029.9808054147 1790802.47071515 524752.527675111 791584.036333286 8311.16025307136 1841780.65371339 20246.1813101 305570.662554412 844964.720214115 851743.938158168 853189.159376112 26806.6656237516 1904293.25992893 418493.219700847 168168.159923529 157544.017779249 279820.903212989 7552.59335426858 513793.497355044 70836.3366073465 24090.642816316 77649.2914357817 1479898.31950304 512348.167903054 2127.91924444338 1621406.58884298 1680886.95611745 282117.977742498 1497108.07219152 1847242.72550137
2006-09-10 9 6 10 2006 256515.796345809 158715.52263524 439378.726684669 192949.669142098 2820162.65562886 259777.527164432 263352.378235304 520295.123924633 159959.818188148 11924.048087205 1384100.56803503 316157.049309848 2788270.24159053 36790.0790350363 63951.4415759076 57220.7088197172 25815.3781671887 1203760.04316087 535989.959695322 592743.721544881 7455.43533347086 2909208.17496018 18428.1008339736 182936.409542648 628049.423508906 626338.639752111 634642.497898985 13329.4752891683 2553941.04009757 175040.531329617 175568.536332168 170088.604517672 164406.337474457 1826.57984713733 520295.123924633 59857.2477507953 13608.5628453073 65847.8227596179 1769592.48124793 264471.008438869 2328.99564058558 1612493.26185878 1555043.4264127 159906.250489977 1672305.83527016 1449330.22880681
2006-09-17 9 7 17 2006 222124.186256088 148154.103238795 493804.079403424 184596.797677053 1769621.95480467 219437.999406151 225509.058604357 518946.644574992 147101.204988434 21660.9144571053 901509.652583866 300868.482177381 1676690.53235731 120058.511700689 63176.4120084769 57543.73624617 25609.8462098278 869879.075371783 532554.803291279 567685.835714569 6467.94396008306 1689675.81881686 11640.7588431569 181567.525828951 611194.880278532 614265.533860556 609973.162931817 11566.1891080759 1488513.83064556 289698.241495934 150082.814957903 153002.276580817 154366.266375788 6978.86480401905 518946.644574992 43842.4261043826 17197.602518419 64954.2677275433 963929.775149984 364169.929402814 837.584098688438 952498.18527136 946074.623296767 153567.662499572 942108.341679141 930849.260623441
2006-09-24 9 8 24 2006 255697.034246502 146029.188740427 443099.557886476 171838.932830831 1543087.85410236 254600.492202472 259395.665718838 474751.133318727 179660.858008791 20520.0743852274 903871.440695117 270103.46822788 1520345.79863116 100551.587622213 61203.3290221198 97692.4934805613 73012.3325501782 859657.674058031 485045.503320013 508803.843348589 7272.71025656405 1564268.8274872 18076.2685138065 169171.465540779 549969.027757436 552898.323952642 549246.240665395 29802.843013447 1430321.8764557 277884.506403684 139564.815319335 147560.275085647 185946.32862975 10500.5177759396 474751.133318727 61240.8347298918 24143.0145268731 55039.3560626562 975927.364725452 341376.42958737 2091.47433836562 955165.282859774 945584.538899286 184886.339959544 952106.732915954 920591.599692242
2006-10-01 10 9 1 2006 239031.534803591 121104.886185168 402046.007901954 57541.5783496979 1352213.33454254 238055.978535519 242236.255615361 458407.618611066 165133.412149333 20494.9628602026 737324.919072494 174075.404114035 1321671.89142285 106044.784114035 61708.9007845237 102327.104066746 79701.765364763 703227.543119537 468971.722082799 509658.658276952 7583.25235995803 1339766.31948413 19281.7711698662 55535.2 551547.254912506 554215.471065012 549378.395177347 18548.314608814 1235735.6983839 276282.782935971 132662.221575457 126857.105653519 171207.770758886 19391.0009918574 458407.618611066 64632.7981595339 18677.3311313824 52758.44 787702.440701878 327757.067714311 1990.27451408425 775470.457991224 768214.572273692 170523.310917664 770340.182142658 744798.252434536
2006-10-08 10 10 8 2006 230396.825423747 121737.383486998 485853.021350068 55418.5579658959 1216427.77420864 235412.215389899 233870.927848613 435372.527359824 98261.830673481 14494.2675128768 706426.356362432 167160.051332627 1179816.56734897 81615.1964644227 18048.94 44428.16 5553.52 693913.101118539 445816.162684048 489788.280252828 7264.45949159078 1115739.84927275 19235.9146336248 55535.2 525530.552634753 524757.47691056 526919.773733946 23730.4948302939 1114871.88823561 274250.119761118 130272.240672814 123441.781906671 102351.207870434 3599.60588137598 435372.527359824 65548.2574254958 15533.7077175685 65380.0047964277 719534.487740929 315708.430997221 2002.51452826326 721203.722676076 718953.712286363 102745.096312922 707114.300623961 714158.304015563
